Server Region,Account,Rules Violation,,Spending Score
Asia-Pacific,P**ani,Illegal resource obtainment,,3
Europe,V**ERA73,Illegal resource obtainment,,1
Southeast Asia,r**okooo,Illegal resource obtainment,,1
Southeast Asia,B**gBongUrMom,Illegal resource obtainment & Cheating on Bygone Phantasm,,3
South America,N**ERLEND,Cheating on Bygone Phantasm,,1
Asia-Pacific,H**ib Jindan,Illegal resource obtainment,,0
Asia-Pacific,A**rssen,Illegal resource obtainment,,0
Southeast Asia,T**cina,Illegal resource obtainment,,2
North America,•**ko•,Illegal resource obtainment,,1
Southeast Asia,S**akyFam,Illegal resource obtainment,,1
Europe,l**Zl,Illegal resource obtainment,,1
Southeast Asia,p**egajam,Illegal resource obtainment,,2
Southeast Asia,D** Castro,Illegal resource obtainment,,3
Europe,R**nsanDs,Illegal resource obtainment,,3
Europe,S**nia,Illegal resource obtainment,,1
North America,?** ?,Illegal resource obtainment,,2
Southeast Asia,W**derTail,Illegal resource obtainment,,3
Europe,N**Ice,Illegal resource obtainment,,2
Southeast Asia,T**moD,Illegal resource obtainment,,1
Europe,M**cheater,Illegal resource obtainment,,2
Asia-Pacific,n**much,Illegal resource obtainment,,2
Europe,M**rel Elmgazer,Illegal resource obtainment & Cheating on Bygone Phantasm,,1
North America,G**tchers,Illegal resource obtainment,,3
Southeast Asia,S** AKUTO,Illegal resource obtainment,,1
Southeast Asia,0,Illegal resource obtainment,,2
Asia-Pacific,B**baboob,Cheating on Bygone Phantasm,,3
Southeast Asia,R**4GON,Illegal resource obtainment & Cheating on Bygone Phantasm,,2
Southeast Asia,N**kchesza,Illegal resource obtainment,,0
Europe,w**l,Illegal resource obtainment,,0
Europe,B**aradox,Illegal resource obtainment,,1
Southeast Asia,D**gerTH,Illegal resource obtainment,,2
Asia-Pacific,S**en,Illegal resource obtainment,,1
Asia-Pacific,-**nner,Illegal resource obtainment,,1
Asia-Pacific,t**globaldc,Illegal resource obtainment,,1
Southeast Asia,X**ovella,Illegal resource obtainment,,1
Europe,w**tom,Illegal resource obtainment,,1
Asia-Pacific,K**luto,Illegal resource obtainment,,3
North America,_**sya_breaker,Illegal resource obtainment,,2
